TimerID Timer1 1
TimerID Timer2 2
SubscriberID Subscriber1 4
SubscriberID Subscriber2 5
TimerID Timer3 3
SubscriberID Subscriber3 6
SubscriberID Subscriber4 7
SubscriberID Subscriber5 8
SubscriberID Subscriber6 9
SubscriberID Subscriber7 10
SubscriberID Subscriber8 11
SubscriberID Subscriber9 12
SubscriberID Subscriber10 13
Subscriber 4 47 9622000000
Subscriber 13 21 9626000000
Timer 2 22 9660000000
Subscriber 12 57 9666000000
Subscriber 10 46 9676000000
Subscriber 5 22 9682000000
Subscriber 6 47 9724000000
Subscriber 8 59 9724000000
Timer 3 60 9762000000
Subscriber 7 22 9774000000
Subscriber 9 22 9774000000
Timer 1 48 9800000000
Subscriber 12 58 9816000000
Subscriber 4 48 9822000000
Subscriber 10 47 9876000000
Timer 3 61 9922000000
Subscriber 6 48 9924000000
Subscriber 8 60 9924000000
Subscriber 12 59 9966000000
Timer 1 49 10000000000
Subscriber 11 22 10006000000
Subscriber 4 49 10022000000
Subscriber 13 22 10026000000
Subscriber 8 61 10074000000
Subscriber 10 48 10076000000
Timer 2 23 10080000000
Timer 3 62 10082000000
Subscriber 5 23 10102000000
Subscriber 6 49 10124000000
Subscriber 12 60 10166000000
Subscriber 7 23 10174000000
Subscriber 9 23 10174000000
Timer 1 50 10200000000
Subscriber 4 50 10222000000
Subscriber 8 62 10224000000
Timer 3 63 10242000000
Subscriber 10 49 10276000000
Subscriber 12 61 10316000000
Subscriber 6 50 10324000000
Subscriber 8 63 10374000000
Timer 1 51 10400000000
Timer 3 64 10402000000
Subscriber 11 23 10406000000
Subscriber 4 51 10422000000
Subscriber 13 23 10426000000
Subscriber 12 62 10466000000
Subscriber 10 50 10476000000
Timer 2 24 10500000000
Subscriber 5 24 10522000000
Subscriber 6 51 10524000000
Subscriber 8 64 10524000000
Timer 3 65 10562000000
Timer 1 52 10600000000
Subscriber 12 63 10616000000
Subscriber 4 52 10622000000
Subscriber 7 24 10624000000
Subscriber 9 24 10624000000
Subscriber 10 51 10676000000
Timer 3 66 10722000000
Subscriber 6 52 10724000000
Subscriber 8 65 10724000000
Subscriber 12 64 10766000000
Timer 1 53 10800000000
Subscriber 4 53 10822000000
Subscriber 11 24 10856000000
Subscriber 8 66 10874000000
Subscriber 10 52 10876000000
Subscriber 13 24 10876000000
Timer 3 67 10882000000
Timer 2 25 10920000000
Subscriber 6 53 10924000000
Subscriber 5 25 10942000000
Subscriber 12 65 10966000000
Timer 1 54 11000000000
Subscriber 4 54 11022000000
Subscriber 7 25 11024000000
Subscriber 8 67 11024000000
Subscriber 9 25 11024000000
Timer 3 68 11042000000
Subscriber 10 53 11076000000
Subscriber 12 66 11116000000
Subscriber 6 54 11124000000
Subscriber 8 68 11174000000
Timer 1 55 11200000000
Timer 3 69 11202000000
Subscriber 4 55 11222000000
Subscriber 11 25 11256000000
Subscriber 12 67 11266000000
Subscriber 10 54 11276000000
Subscriber 13 25 11276000000
Subscriber 6 55 11324000000
Subscriber 8 69 11324000000
Timer 2 26 11340000000
Subscriber 5 26 11362000000
Timer 3 70 11362000000
Timer 1 56 11400000000
Subscriber 12 68 11416000000
Subscriber 4 56 11422000000
Subscriber 7 26 11474000000
Subscriber 9 26 11474000000
Subscriber 10 55 11476000000
Timer 3 71 11522000000
Subscriber 6 56 11524000000
Subscriber 8 70 11524000000
Subscriber 12 69 11566000000
Timer 1 57 11600000000
Subscriber 4 57 11622000000
Subscriber 8 71 11674000000
Subscriber 10 56 11676000000
Timer 3 72 11682000000
Subscriber 11 26 11706000000
Subscriber 6 57 11724000000
Subscriber 13 26 11726000000
Timer 2 27 11760000000
Subscriber 12 70 11766000000
Subscriber 5 27 11782000000
Timer 1 58 11800000000
Subscriber 4 58 11822000000
Subscriber 8 72 11824000000
Timer 3 73 11842000000
Subscriber 7 27 11874000000
Subscriber 9 27 11874000000
Subscriber 10 57 11876000000
Subscriber 12 71 11916000000
Subscriber 6 58 11924000000
Subscriber 8 73 11974000000
Timer 1 59 12000000000
Timer 3 74 12002000000
Subscriber 4 59 12022000000
Subscriber 12 72 12066000000
Subscriber 10 58 12076000000
Subscriber 11 27 12106000000
Subscriber 6 59 12124000000
Subscriber 8 74 12124000000
Subscriber 13 27 12126000000
Timer 3 75 12162000000
Timer 2 28 12180000000
Timer 1 60 12200000000
Subscriber 5 28 12202000000
Subscriber 12 73 12216000000
Subscriber 4 60 12222000000
Subscriber 7 28 12274000000
Subscriber 9 28 12274000000
Subscriber 10 59 12276000000
Timer 3 76 12322000000
Subscriber 6 60 12324000000
Subscriber 8 75 12324000000
Subscriber 12 74 12366000000
Timer 1 61 12400000000
Subscriber 4 61 12422000000
Subscriber 8 76 12474000000
Subscriber 10 60 12476000000
Timer 3 77 12482000000
Subscriber 11 28 12506000000
Subscriber 6 61 12524000000
Subscriber 13 28 12526000000
Subscriber 12 75 12566000000
Timer 1 62 12600000000
Timer 2 29 12600000000
Subscriber 4 62 12622000000
Subscriber 5 29 12622000000
Subscriber 8 77 12624000000
Timer 3 78 12642000000
Subscriber 10 61 12676000000
Subscriber 12 76 12716000000
Subscriber 6 62 12724000000
Subscriber 7 29 12724000000
Subscriber 9 29 12724000000
Subscriber 8 78 12774000000
